Date,Close,Change,Max,Min
12/10/2021,"""179.45""","""0.00""","""246.75""","""125.02"""
12/13/2021,"""175.74""","""-3.71""","""246.75""","""125.02"""
12/14/2021,"""174.33""","""-1.41""","""246.75""","""125.02"""
12/15/2021,"""179.30""","""4.97""","""246.75""","""125.02"""
12/16/2021,"""172.26""","""-7.04""","""246.75""","""125.02"""
12/17/2021,"""171.14""","""-1.12""","""246.75""","""125.02"""
12/20/2021,"""169.75""","""-1.39""","""246.75""","""125.02"""
12/21/2021,"""172.99""","""3.24""","""246.75""","""125.02"""
12/22/2021,"""175.64""","""2.65""","""246.75""","""125.02"""
12/23/2021,"""176.28""","""0.64""","""246.75""","""125.02"""
12/27/2021,"""180.33""","""4.05""","""246.75""","""125.02"""
12/28/2021,"""179.29""","""-1.04""","""246.75""","""125.02"""
12/29/2021,"""179.38""","""0.09""","""246.75""","""125.02"""
12/30/2021,"""178.20""","""-1.18""","""246.75""","""125.02"""
12/31/2021,"""177.57""","""-0.63""","""246.75""","""125.02"""
01/03/2022,"""182.01""","""4.44""","""246.75""","""125.02"""
01/04/2022,"""179.70""","""-2.31""","""246.75""","""125.02"""
01/05/2022,"""174.92""","""-4.78""","""246.75""","""125.02"""
01/06/2022,"""172.00""","""-2.92""","""246.75""","""125.02"""
01/07/2022,"""172.17""","""0.17""","""246.75""","""125.02"""
01/10/2022,"""172.19""","""0.02""","""246.75""","""125.02"""
01/11/2022,"""175.08""","""2.89""","""246.75""","""125.02"""
01/12/2022,"""175.53""","""0.45""","""246.75""","""125.02"""
01/13/2022,"""172.19""","""-3.34""","""246.75""","""125.02"""
01/14/2022,"""173.07""","""0.88""","""246.75""","""125.02"""
01/18/2022,"""169.80""","""-3.27""","""246.75""","""125.02"""
01/19/2022,"""166.23""","""-3.57""","""246.75""","""125.02"""
01/20/2022,"""164.51""","""-1.72""","""246.75""","""125.02"""
01/21/2022,"""162.41""","""-2.10""","""246.75""","""125.02"""
01/24/2022,"""161.62""","""-0.79""","""246.75""","""125.02"""
01/25/2022,"""159.78""","""-1.84""","""246.75""","""125.02"""
01/26/2022,"""159.69""","""-0.09""","""246.75""","""125.02"""
01/27/2022,"""159.22""","""-0.47""","""246.75""","""125.02"""
01/28/2022,"""170.33""","""11.11""","""246.75""","""125.02"""
01/31/2022,"""174.78""","""4.45""","""246.75""","""125.02"""
02/01/2022,"""174.61""","""-0.17""","""246.75""","""125.02"""
02/02/2022,"""175.84""","""1.23""","""246.75""","""125.02"""
02/03/2022,"""172.90""","""-2.94""","""246.75""","""125.02"""
02/04/2022,"""172.39""","""-0.51""","""246.75""","""125.02"""
02/07/2022,"""171.66""","""-0.73""","""246.75""","""125.02"""
02/08/2022,"""174.83""","""3.17""","""246.75""","""125.02"""
02/09/2022,"""176.28""","""1.45""","""246.75""","""125.02"""
02/10/2022,"""172.12""","""-4.16""","""246.75""","""125.02"""
02/11/2022,"""168.64""","""-3.48""","""246.75""","""125.02"""
02/14/2022,"""168.88""","""0.24""","""246.75""","""125.02"""
02/15/2022,"""172.79""","""3.91""","""246.75""","""125.02"""
02/16/2022,"""172.55""","""-0.24""","""246.75""","""125.02"""
02/17/2022,"""168.88""","""-3.67""","""246.75""","""125.02"""
02/18/2022,"""167.30""","""-1.58""","""246.75""","""125.02"""
02/22/2022,"""164.32""","""-2.98""","""246.75""","""125.02"""
02/23/2022,"""160.07""","""-4.25""","""246.75""","""125.02"""
02/24/2022,"""162.74""","""2.67""","""246.75""","""125.02"""
02/25/2022,"""164.85""","""2.11""","""246.75""","""125.02"""
02/28/2022,"""165.12""","""0.27""","""246.75""","""125.02"""
03/01/2022,"""163.20""","""-1.92""","""246.75""","""125.02"""
03/02/2022,"""166.56""","""3.36""","""246.75""","""125.02"""
03/03/2022,"""166.23""","""-0.33""","""246.75""","""125.02"""
03/04/2022,"""163.17""","""-3.06""","""246.75""","""125.02"""
03/07/2022,"""159.30""","""-3.87""","""246.75""","""125.02"""
03/08/2022,"""157.44""","""-1.86""","""246.75""","""125.02"""
03/09/2022,"""162.95""","""5.51""","""246.75""","""125.02"""
03/10/2022,"""158.52""","""-4.43""","""246.75""","""125.02"""
03/11/2022,"""154.73""","""-3.79""","""246.75""","""125.02"""
03/14/2022,"""150.62""","""-4.11""","""246.75""","""125.02"""
03/15/2022,"""155.09""","""4.47""","""246.75""","""125.02"""
03/16/2022,"""159.59""","""4.50""","""246.75""","""125.02"""
03/17/2022,"""160.62""","""1.03""","""246.75""","""125.02"""
03/18/2022,"""163.98""","""3.36""","""246.75""","""125.02"""
03/21/2022,"""165.38""","""1.40""","""246.75""","""125.02"""
03/22/2022,"""168.82""","""3.44""","""246.75""","""125.02"""
03/23/2022,"""170.21""","""1.39""","""246.75""","""125.02"""
03/24/2022,"""174.07""","""3.86""","""246.75""","""125.02"""
03/25/2022,"""174.72""","""0.65""","""246.75""","""125.02"""
03/28/2022,"""175.60""","""0.88""","""246.75""","""125.02"""
03/29/2022,"""178.96""","""3.36""","""246.75""","""125.02"""
