Date,Close,Change,Max,Min
12/13/2021,"""169.57""","""0.00""","""227.03""","""81.82"""
12/14/2021,"""169.09""","""-0.48""","""227.03""","""81.82"""
12/15/2021,"""173.31""","""4.22""","""227.03""","""81.82"""
12/16/2021,"""168.87""","""-4.44""","""227.03""","""81.82"""
12/17/2021,"""170.02""","""1.15""","""227.03""","""81.82"""
12/20/2021,"""167.08""","""-2.94""","""227.03""","""81.82"""
12/21/2021,"""170.42""","""3.34""","""227.03""","""81.82"""
12/22/2021,"""171.04""","""0.62""","""227.03""","""81.82"""
12/23/2021,"""171.07""","""0.03""","""227.03""","""81.82"""
12/27/2021,"""169.67""","""-1.40""","""227.03""","""81.82"""
12/28/2021,"""170.66""","""0.99""","""227.03""","""81.82"""
12/29/2021,"""169.20""","""-1.46""","""227.03""","""81.82"""
12/30/2021,"""168.64""","""-0.56""","""227.03""","""81.82"""
12/31/2021,"""166.72""","""-1.92""","""227.03""","""81.82"""
01/03/2022,"""170.40""","""3.68""","""227.03""","""81.82"""
01/04/2022,"""167.52""","""-2.88""","""227.03""","""81.82"""
01/05/2022,"""164.36""","""-3.16""","""227.03""","""81.82"""
01/06/2022,"""163.25""","""-1.11""","""227.03""","""81.82"""
01/07/2022,"""162.55""","""-0.70""","""227.03""","""81.82"""
01/10/2022,"""161.49""","""-1.06""","""227.03""","""81.82"""
01/11/2022,"""165.36""","""3.87""","""227.03""","""81.82"""
01/12/2022,"""165.21""","""-0.15""","""227.03""","""81.82"""
01/13/2022,"""161.21""","""-4.00""","""227.03""","""81.82"""
01/14/2022,"""162.14""","""0.93""","""227.03""","""81.82"""
01/18/2022,"""158.92""","""-3.22""","""227.03""","""81.82"""
01/19/2022,"""156.30""","""-2.62""","""227.03""","""81.82"""
01/20/2022,"""151.67""","""-4.63""","""227.03""","""81.82"""
01/21/2022,"""142.64""","""-9.03""","""227.03""","""81.82"""
01/24/2022,"""144.54""","""1.90""","""227.03""","""81.82"""
01/25/2022,"""139.99""","""-4.55""","""227.03""","""81.82"""
01/26/2022,"""138.87""","""-1.12""","""227.03""","""81.82"""
01/27/2022,"""139.64""","""0.77""","""227.03""","""81.82"""
01/28/2022,"""143.98""","""4.34""","""227.03""","""81.82"""
01/31/2022,"""149.57""","""5.59""","""227.03""","""81.82"""
02/01/2022,"""151.19""","""1.62""","""227.03""","""81.82"""
02/02/2022,"""150.61""","""-0.58""","""227.03""","""81.82"""
02/03/2022,"""138.85""","""-11.76""","""227.03""","""81.82"""
02/04/2022,"""157.64""","""18.79""","""227.03""","""81.82"""
02/07/2022,"""157.94""","""0.30""","""227.03""","""81.82"""
02/08/2022,"""161.41""","""3.47""","""227.03""","""81.82"""
02/09/2022,"""161.19""","""-0.22""","""227.03""","""81.82"""
02/10/2022,"""159.00""","""-2.19""","""227.03""","""81.82"""
02/11/2022,"""153.29""","""-5.71""","""227.03""","""81.82"""
02/14/2022,"""155.17""","""1.88""","""227.03""","""81.82"""
02/15/2022,"""156.51""","""1.34""","""227.03""","""81.82"""
02/16/2022,"""158.10""","""1.59""","""227.03""","""81.82"""
02/17/2022,"""154.65""","""-3.45""","""227.03""","""81.82"""
02/18/2022,"""152.60""","""-2.05""","""227.03""","""81.82"""
02/22/2022,"""150.20""","""-2.40""","""227.03""","""81.82"""
02/23/2022,"""144.83""","""-5.37""","""227.03""","""81.82"""
02/24/2022,"""151.36""","""6.53""","""227.03""","""81.82"""
02/25/2022,"""153.79""","""2.43""","""227.03""","""81.82"""
02/28/2022,"""153.56""","""-0.23""","""227.03""","""81.82"""
03/01/2022,"""151.14""","""-2.42""","""227.03""","""81.82"""
03/02/2022,"""152.05""","""0.91""","""227.03""","""81.82"""
03/03/2022,"""147.90""","""-4.15""","""227.03""","""81.82"""
03/04/2022,"""145.64""","""-2.26""","""227.03""","""81.82"""
03/07/2022,"""137.45""","""-8.19""","""227.03""","""81.82"""
03/08/2022,"""136.01""","""-1.44""","""227.03""","""81.82"""
03/09/2022,"""139.28""","""3.27""","""227.03""","""81.82"""
03/10/2022,"""146.82""","""7.54""","""227.03""","""81.82"""
03/11/2022,"""145.52""","""-1.30""","""227.03""","""81.82"""
03/14/2022,"""141.85""","""-3.67""","""227.03""","""81.82"""
03/15/2022,"""147.37""","""5.52""","""227.03""","""81.82"""
03/16/2022,"""153.10""","""5.73""","""227.03""","""81.82"""
03/17/2022,"""157.24""","""4.14""","""227.03""","""81.82"""
03/18/2022,"""161.25""","""4.01""","""227.03""","""81.82"""
03/21/2022,"""161.49""","""0.24""","""227.03""","""81.82"""
03/22/2022,"""164.89""","""3.40""","""227.03""","""81.82"""
03/23/2022,"""163.41""","""-1.48""","""227.03""","""81.82"""
03/24/2022,"""163.65""","""0.24""","""227.03""","""81.82"""
03/25/2022,"""164.77""","""1.12""","""227.03""","""81.82"""
03/28/2022,"""168.99""","""4.22""","""227.03""","""81.82"""
03/29/2022,"""169.32""","""0.33""","""227.03""","""81.82"""
03/30/2022,"""166.30""","""-3.02""","""227.03""","""81.82"""
03/31/2022,"""163.00""","""-3.30""","""227.03""","""81.82"""
04/01/2022,"""163.56""","""0.56""","""227.03""","""81.82"""
04/04/2022,"""168.35""","""4.79""","""227.03""","""81.82"""
04/05/2022,"""164.05""","""-4.30""","""227.03""","""81.82"""
04/06/2022,"""158.76""","""-5.29""","""227.03""","""81.82"""
04/07/2022,"""157.78""","""-0.98""","""227.03""","""81.82"""
04/08/2022,"""154.46""","""-3.32""","""227.03""","""81.82"""
04/11/2022,"""151.12""","""-3.34""","""227.03""","""81.82"""
04/12/2022,"""150.79""","""-0.33""","""227.03""","""81.82"""
04/13/2022,"""155.54""","""4.75""","""227.03""","""81.82"""
04/14/2022,"""151.71""","""-3.83""","""227.03""","""81.82"""
04/18/2022,"""152.79""","""1.08""","""227.03""","""81.82"""
04/19/2022,"""158.12""","""5.33""","""227.03""","""81.82"""
04/20/2022,"""154.00""","""-4.12""","""227.03""","""81.82"""
04/21/2022,"""148.30""","""-5.70""","""227.03""","""81.82"""
04/22/2022,"""144.35""","""-3.95""","""227.03""","""81.82"""
04/25/2022,"""146.07""","""1.72""","""227.03""","""81.82"""
04/26/2022,"""139.39""","""-6.68""","""227.03""","""81.82"""
04/27/2022,"""138.17""","""-1.22""","""227.03""","""81.82"""
04/28/2022,"""144.60""","""6.43""","""227.03""","""81.82"""
04/29/2022,"""124.28""","""-20.32""","""227.03""","""81.82"""
05/02/2022,"""124.50""","""0.22""","""227.03""","""81.82"""
05/03/2022,"""124.25""","""-0.25""","""227.03""","""81.82"""
05/04/2022,"""125.93""","""1.68""","""227.03""","""81.82"""
