Date,Close,Change,Max,Min
12/10/2021,"""148.68""","""0.00""","""192.66""","""83.49"""
12/13/2021,"""146.70""","""-1.98""","""192.66""","""83.49"""
12/14/2021,"""144.97""","""-1.73""","""192.66""","""83.49"""
12/15/2021,"""147.37""","""2.40""","""192.66""","""83.49"""
12/16/2021,"""144.84""","""-2.53""","""192.66""","""83.49"""
12/17/2021,"""142.80""","""-2.04""","""192.66""","""83.49"""
12/20/2021,"""142.40""","""-0.40""","""192.66""","""83.49"""
12/21/2021,"""144.22""","""1.82""","""192.66""","""83.49"""
12/22/2021,"""146.95""","""2.73""","""192.66""","""83.49"""
12/23/2021,"""147.14""","""0.19""","""192.66""","""83.49"""
12/27/2021,"""148.06""","""0.92""","""192.66""","""83.49"""
12/28/2021,"""146.45""","""-1.61""","""192.66""","""83.49"""
12/29/2021,"""146.50""","""0.05""","""192.66""","""83.49"""
12/30/2021,"""146.00""","""-0.50""","""192.66""","""83.49"""
12/31/2021,"""144.68""","""-1.32""","""192.66""","""83.49"""
01/03/2022,"""145.07""","""0.39""","""192.66""","""83.49"""
01/04/2022,"""144.42""","""-0.65""","""192.66""","""83.49"""
01/05/2022,"""137.65""","""-6.77""","""192.66""","""83.49"""
01/06/2022,"""137.55""","""-0.10""","""192.66""","""83.49"""
01/07/2022,"""137.00""","""-0.55""","""192.66""","""83.49"""
01/10/2022,"""138.57""","""1.57""","""192.66""","""83.49"""
01/11/2022,"""140.02""","""1.45""","""192.66""","""83.49"""
01/12/2022,"""141.65""","""1.63""","""192.66""","""83.49"""
01/13/2022,"""139.13""","""-2.52""","""192.66""","""83.49"""
01/14/2022,"""139.79""","""0.66""","""192.66""","""83.49"""
01/18/2022,"""136.29""","""-3.50""","""192.66""","""83.49"""
01/19/2022,"""135.65""","""-0.64""","""192.66""","""83.49"""
01/20/2022,"""133.51""","""-2.14""","""192.66""","""83.49"""
01/21/2022,"""130.09""","""-3.42""","""192.66""","""83.49"""
01/24/2022,"""130.37""","""0.28""","""192.66""","""83.49"""
01/25/2022,"""126.74""","""-3.63""","""192.66""","""83.49"""
01/26/2022,"""129.24""","""2.50""","""192.66""","""83.49"""
01/27/2022,"""129.12""","""-0.12""","""192.66""","""83.49"""
01/28/2022,"""133.29""","""4.17""","""192.66""","""83.49"""
01/31/2022,"""135.70""","""2.41""","""192.66""","""83.49"""
02/01/2022,"""137.88""","""2.18""","""192.66""","""83.49"""
02/02/2022,"""148.04""","""10.16""","""192.66""","""83.49"""
02/03/2022,"""142.65""","""-5.39""","""192.66""","""83.49"""
02/04/2022,"""143.02""","""0.37""","""192.66""","""83.49"""
02/07/2022,"""138.94""","""-4.08""","""192.66""","""83.49"""
02/08/2022,"""139.21""","""0.27""","""192.66""","""83.49"""
02/09/2022,"""141.45""","""2.24""","""192.66""","""83.49"""
02/10/2022,"""138.60""","""-2.85""","""192.66""","""83.49"""
02/11/2022,"""134.13""","""-4.47""","""192.66""","""83.49"""
02/14/2022,"""135.30""","""1.17""","""192.66""","""83.49"""
02/15/2022,"""136.43""","""1.13""","""192.66""","""83.49"""
02/16/2022,"""137.49""","""1.06""","""192.66""","""83.49"""
02/17/2022,"""132.31""","""-5.18""","""192.66""","""83.49"""
02/18/2022,"""130.47""","""-1.84""","""192.66""","""83.49"""
02/22/2022,"""129.40""","""-1.07""","""192.66""","""83.49"""
02/23/2022,"""127.58""","""-1.82""","""192.66""","""83.49"""
02/24/2022,"""132.67""","""5.09""","""192.66""","""83.49"""
02/25/2022,"""134.52""","""1.85""","""192.66""","""83.49"""
02/28/2022,"""134.89""","""0.37""","""192.66""","""83.49"""
03/01/2022,"""134.17""","""-0.72""","""192.66""","""83.49"""
03/02/2022,"""134.75""","""0.58""","""192.66""","""83.49"""
03/03/2022,"""134.31""","""-0.44""","""192.66""","""83.49"""
03/04/2022,"""132.12""","""-2.19""","""192.66""","""83.49"""
03/07/2022,"""126.46""","""-5.66""","""192.66""","""83.49"""
03/08/2022,"""127.28""","""0.82""","""192.66""","""83.49"""
03/09/2022,"""133.87""","""6.59""","""192.66""","""83.49"""
03/10/2022,"""132.68""","""-1.19""","""192.66""","""83.49"""
03/11/2022,"""130.48""","""-2.20""","""192.66""","""83.49"""
03/14/2022,"""126.74""","""-3.74""","""192.66""","""83.49"""
03/15/2022,"""129.66""","""2.92""","""192.66""","""83.49"""
03/16/2022,"""133.69""","""4.03""","""192.66""","""83.49"""
03/17/2022,"""134.60""","""0.91""","""192.66""","""83.49"""
