Date,Close,Change,Max,Min
12/10/2021,"""329.75""","""0.00""","""623.77""","""88.91"""
12/13/2021,"""334.49""","""4.74""","""623.77""","""88.91"""
12/14/2021,"""333.74""","""-0.75""","""623.77""","""88.91"""
12/15/2021,"""341.66""","""7.92""","""623.77""","""88.91"""
12/16/2021,"""334.90""","""-6.76""","""623.77""","""88.91"""
12/17/2021,"""333.79""","""-1.11""","""623.77""","""88.91"""
12/20/2021,"""325.45""","""-8.34""","""623.77""","""88.91"""
12/21/2021,"""334.20""","""8.75""","""623.77""","""88.91"""
12/22/2021,"""330.45""","""-3.75""","""623.77""","""88.91"""
12/23/2021,"""335.24""","""4.79""","""623.77""","""88.91"""
12/27/2021,"""346.18""","""10.94""","""623.77""","""88.91"""
12/28/2021,"""346.22""","""0.04""","""623.77""","""88.91"""
12/29/2021,"""342.94""","""-3.28""","""623.77""","""88.91"""
12/30/2021,"""344.36""","""1.42""","""623.77""","""88.91"""
12/31/2021,"""336.35""","""-8.01""","""623.77""","""88.91"""
01/03/2022,"""338.54""","""2.19""","""623.77""","""88.91"""
01/04/2022,"""336.53""","""-2.01""","""623.77""","""88.91"""
01/05/2022,"""324.17""","""-12.36""","""623.77""","""88.91"""
01/06/2022,"""332.46""","""8.29""","""623.77""","""88.91"""
01/07/2022,"""331.79""","""-0.67""","""623.77""","""88.91"""
01/10/2022,"""328.07""","""-3.72""","""623.77""","""88.91"""
01/11/2022,"""334.37""","""6.30""","""623.77""","""88.91"""
01/12/2022,"""333.26""","""-1.11""","""623.77""","""88.91"""
01/13/2022,"""326.48""","""-6.78""","""623.77""","""88.91"""
01/14/2022,"""331.90""","""5.42""","""623.77""","""88.91"""
01/18/2022,"""318.15""","""-13.75""","""623.77""","""88.91"""
01/19/2022,"""319.59""","""1.44""","""623.77""","""88.91"""
01/20/2022,"""316.56""","""-3.03""","""623.77""","""88.91"""
01/21/2022,"""303.17""","""-13.39""","""623.77""","""88.91"""
01/24/2022,"""308.71""","""5.54""","""623.77""","""88.91"""
01/25/2022,"""300.15""","""-8.56""","""623.77""","""88.91"""
01/26/2022,"""294.63""","""-5.52""","""623.77""","""88.91"""
01/27/2022,"""294.64""","""0.01""","""623.77""","""88.91"""
01/28/2022,"""301.71""","""7.07""","""623.77""","""88.91"""
01/31/2022,"""313.26""","""11.55""","""623.77""","""88.91"""
02/01/2022,"""319.00""","""5.74""","""623.77""","""88.91"""
02/02/2022,"""323.00""","""4.00""","""623.77""","""88.91"""
02/03/2022,"""237.76""","""-85.24""","""623.77""","""88.91"""
02/04/2022,"""237.09""","""-0.67""","""623.77""","""88.91"""
02/07/2022,"""224.91""","""-12.18""","""623.77""","""88.91"""
02/08/2022,"""220.18""","""-4.73""","""623.77""","""88.91"""
02/09/2022,"""232.00""","""11.82""","""623.77""","""88.91"""
02/10/2022,"""228.07""","""-3.93""","""623.77""","""88.91"""
02/11/2022,"""219.55""","""-8.52""","""623.77""","""88.91"""
02/14/2022,"""217.70""","""-1.85""","""623.77""","""88.91"""
02/15/2022,"""221.00""","""3.30""","""623.77""","""88.91"""
02/16/2022,"""216.54""","""-4.46""","""623.77""","""88.91"""
02/17/2022,"""207.71""","""-8.83""","""623.77""","""88.91"""
02/18/2022,"""206.16""","""-1.55""","""623.77""","""88.91"""
02/22/2022,"""202.08""","""-4.08""","""623.77""","""88.91"""
02/23/2022,"""198.45""","""-3.63""","""623.77""","""88.91"""
02/24/2022,"""207.60""","""9.15""","""623.77""","""88.91"""
02/25/2022,"""210.48""","""2.88""","""623.77""","""88.91"""
02/28/2022,"""211.03""","""0.55""","""623.77""","""88.91"""
03/01/2022,"""203.49""","""-7.54""","""623.77""","""88.91"""
03/02/2022,"""208.11""","""4.62""","""623.77""","""88.91"""
03/03/2022,"""202.97""","""-5.14""","""623.77""","""88.91"""
03/04/2022,"""200.06""","""-2.91""","""623.77""","""88.91"""
03/07/2022,"""187.47""","""-12.59""","""623.77""","""88.91"""
03/08/2022,"""190.29""","""2.82""","""623.77""","""88.91"""
03/09/2022,"""198.50""","""8.21""","""623.77""","""88.91"""
03/10/2022,"""195.21""","""-3.29""","""623.77""","""88.91"""
03/11/2022,"""187.61""","""-7.60""","""623.77""","""88.91"""
03/14/2022,"""186.63""","""-0.98""","""623.77""","""88.91"""
03/15/2022,"""192.03""","""5.40""","""623.77""","""88.91"""
03/16/2022,"""203.63""","""11.60""","""623.77""","""88.91"""
03/17/2022,"""207.84""","""4.21""","""623.77""","""88.91"""
03/18/2022,"""216.49""","""8.65""","""623.77""","""88.91"""
03/21/2022,"""211.49""","""-5.00""","""623.77""","""88.91"""
03/22/2022,"""216.65""","""5.16""","""623.77""","""88.91"""
