Date,Close,Change,Max,Min
12/13/2021,"""339.40""","""0.00""","""467.56""","""214.25"""
12/14/2021,"""328.34""","""-11.06""","""467.56""","""214.25"""
12/15/2021,"""334.65""","""6.31""","""467.56""","""214.25"""
12/16/2021,"""324.90""","""-9.75""","""467.56""","""214.25"""
12/17/2021,"""323.80""","""-1.10""","""467.56""","""214.25"""
12/20/2021,"""319.91""","""-3.89""","""467.56""","""214.25"""
12/21/2021,"""327.29""","""7.38""","""467.56""","""214.25"""
12/22/2021,"""333.20""","""5.91""","""467.56""","""214.25"""
12/23/2021,"""334.69""","""1.49""","""467.56""","""214.25"""
12/27/2021,"""342.45""","""7.76""","""467.56""","""214.25"""
12/28/2021,"""341.25""","""-1.20""","""467.56""","""214.25"""
12/29/2021,"""341.95""","""0.70""","""467.56""","""214.25"""
12/30/2021,"""339.32""","""-2.63""","""467.56""","""214.25"""
12/31/2021,"""336.32""","""-3.00""","""467.56""","""214.25"""
01/03/2022,"""334.75""","""-1.57""","""467.56""","""214.25"""
01/04/2022,"""329.01""","""-5.74""","""467.56""","""214.25"""
01/05/2022,"""316.38""","""-12.63""","""467.56""","""214.25"""
01/06/2022,"""313.88""","""-2.50""","""467.56""","""214.25"""
01/07/2022,"""314.04""","""0.16""","""467.56""","""214.25"""
01/10/2022,"""314.27""","""0.23""","""467.56""","""214.25"""
01/11/2022,"""314.98""","""0.71""","""467.56""","""214.25"""
01/12/2022,"""318.27""","""3.29""","""467.56""","""214.25"""
01/13/2022,"""304.80""","""-13.47""","""467.56""","""214.25"""
01/14/2022,"""310.20""","""5.40""","""467.56""","""214.25"""
01/18/2022,"""302.65""","""-7.55""","""467.56""","""214.25"""
01/19/2022,"""303.33""","""0.68""","""467.56""","""214.25"""
01/20/2022,"""301.60""","""-1.73""","""467.56""","""214.25"""
01/21/2022,"""296.03""","""-5.57""","""467.56""","""214.25"""
01/24/2022,"""296.37""","""0.34""","""467.56""","""214.25"""
01/25/2022,"""288.49""","""-7.88""","""467.56""","""214.25"""
01/26/2022,"""296.71""","""8.22""","""467.56""","""214.25"""
01/27/2022,"""299.84""","""3.13""","""467.56""","""214.25"""
01/28/2022,"""308.26""","""8.42""","""467.56""","""214.25"""
01/31/2022,"""310.98""","""2.72""","""467.56""","""214.25"""
02/01/2022,"""308.76""","""-2.22""","""467.56""","""214.25"""
02/02/2022,"""313.46""","""4.70""","""467.56""","""214.25"""
02/03/2022,"""301.25""","""-12.21""","""467.56""","""214.25"""
02/04/2022,"""305.94""","""4.69""","""467.56""","""214.25"""
02/07/2022,"""300.95""","""-4.99""","""467.56""","""214.25"""
02/08/2022,"""304.56""","""3.61""","""467.56""","""214.25"""
02/09/2022,"""311.21""","""6.65""","""467.56""","""214.25"""
02/10/2022,"""302.38""","""-8.83""","""467.56""","""214.25"""
02/11/2022,"""295.04""","""-7.34""","""467.56""","""214.25"""
02/14/2022,"""295.00""","""-0.04""","""467.56""","""214.25"""
02/15/2022,"""300.47""","""5.47""","""467.56""","""214.25"""
02/16/2022,"""299.50""","""-0.97""","""467.56""","""214.25"""
02/17/2022,"""290.73""","""-8.77""","""467.56""","""214.25"""
02/18/2022,"""287.93""","""-2.80""","""467.56""","""214.25"""
02/22/2022,"""287.72""","""-0.21""","""467.56""","""214.25"""
02/23/2022,"""280.27""","""-7.45""","""467.56""","""214.25"""
02/24/2022,"""294.59""","""14.32""","""467.56""","""214.25"""
02/25/2022,"""297.31""","""2.72""","""467.56""","""214.25"""
02/28/2022,"""298.79""","""1.48""","""467.56""","""214.25"""
03/01/2022,"""294.95""","""-3.84""","""467.56""","""214.25"""
03/02/2022,"""300.19""","""5.24""","""467.56""","""214.25"""
03/03/2022,"""295.92""","""-4.27""","""467.56""","""214.25"""
03/04/2022,"""289.86""","""-6.06""","""467.56""","""214.25"""
03/07/2022,"""278.91""","""-10.95""","""467.56""","""214.25"""
03/08/2022,"""275.85""","""-3.06""","""467.56""","""214.25"""
03/09/2022,"""288.50""","""12.65""","""467.56""","""214.25"""
03/10/2022,"""285.59""","""-2.91""","""467.56""","""214.25"""
03/11/2022,"""280.07""","""-5.52""","""467.56""","""214.25"""
03/14/2022,"""276.44""","""-3.63""","""467.56""","""214.25"""
03/15/2022,"""287.15""","""10.71""","""467.56""","""214.25"""
03/16/2022,"""294.39""","""7.24""","""467.56""","""214.25"""
03/17/2022,"""295.22""","""0.83""","""467.56""","""214.25"""
03/18/2022,"""300.43""","""5.21""","""467.56""","""214.25"""
03/21/2022,"""299.16""","""-1.27""","""467.56""","""214.25"""
03/22/2022,"""304.06""","""4.90""","""467.56""","""214.25"""
03/23/2022,"""299.49""","""-4.57""","""467.56""","""214.25"""
03/24/2022,"""304.10""","""4.61""","""467.56""","""214.25"""
03/25/2022,"""303.68""","""-0.42""","""467.56""","""214.25"""
03/28/2022,"""310.70""","""7.02""","""467.56""","""214.25"""
03/29/2022,"""315.41""","""4.71""","""467.56""","""214.25"""
03/30/2022,"""313.86""","""-1.55""","""467.56""","""214.25"""
03/31/2022,"""308.31""","""-5.55""","""467.56""","""214.25"""
04/01/2022,"""309.42""","""1.11""","""467.56""","""214.25"""
04/04/2022,"""314.97""","""5.55""","""467.56""","""214.25"""
04/05/2022,"""310.88""","""-4.09""","""467.56""","""214.25"""
04/06/2022,"""299.50""","""-11.38""","""467.56""","""214.25"""
04/07/2022,"""301.37""","""1.87""","""467.56""","""214.25"""
04/08/2022,"""296.97""","""-4.40""","""467.56""","""214.25"""
04/11/2022,"""285.26""","""-11.71""","""467.56""","""214.25"""
04/12/2022,"""282.06""","""-3.20""","""467.56""","""214.25"""
04/13/2022,"""287.62""","""5.56""","""467.56""","""214.25"""
04/14/2022,"""279.83""","""-7.79""","""467.56""","""214.25"""
04/18/2022,"""280.52""","""0.69""","""467.56""","""214.25"""
04/19/2022,"""285.30""","""4.78""","""467.56""","""214.25"""
04/20/2022,"""286.36""","""1.06""","""467.56""","""214.25"""
04/21/2022,"""280.81""","""-5.55""","""467.56""","""214.25"""
04/22/2022,"""274.03""","""-6.78""","""467.56""","""214.25"""
04/25/2022,"""280.72""","""6.69""","""467.56""","""214.25"""
04/26/2022,"""270.22""","""-10.50""","""467.56""","""214.25"""
04/27/2022,"""283.22""","""13.00""","""467.56""","""214.25"""
04/28/2022,"""289.63""","""6.41""","""467.56""","""214.25"""
04/29/2022,"""277.52""","""-12.11""","""467.56""","""214.25"""
05/02/2022,"""284.47""","""6.95""","""467.56""","""214.25"""
05/03/2022,"""281.78""","""-2.69""","""467.56""","""214.25"""
05/04/2022,"""289.98""","""8.20""","""467.56""","""214.25"""
05/05/2022,"""277.35""","""-12.63""","""467.56""","""214.25"""
05/06/2022,"""274.73""","""-2.62""","""467.56""","""214.25"""
