Date,Close,Change,Max,Min
12/13/2021,"""28.16""","""0.00""","""148.88""","""11.23"""
12/14/2021,"""28.34""","""0.18""","""148.88""","""11.23"""
12/15/2021,"""30.46""","""2.12""","""148.88""","""11.23"""
12/16/2021,"""28.39""","""-2.07""","""148.88""","""11.23"""
12/17/2021,"""27.80""","""-0.59""","""148.88""","""11.23"""
12/20/2021,"""27.72""","""-0.08""","""148.88""","""11.23"""
12/21/2021,"""29.07""","""1.35""","""148.88""","""11.23"""
12/22/2021,"""29.40""","""0.33""","""148.88""","""11.23"""
12/23/2021,"""29.64""","""0.24""","""148.88""","""11.23"""
12/27/2021,"""30.95""","""1.31""","""148.88""","""11.23"""
12/28/2021,"""30.32""","""-0.63""","""148.88""","""11.23"""
12/29/2021,"""30.00""","""-0.32""","""148.88""","""11.23"""
12/30/2021,"""29.59""","""-0.41""","""148.88""","""11.23"""
12/31/2021,"""29.41""","""-0.18""","""148.88""","""11.23"""
01/03/2022,"""30.12""","""0.71""","""148.88""","""11.23"""
01/04/2022,"""29.29""","""-0.83""","""148.88""","""11.23"""
01/05/2022,"""27.60""","""-1.69""","""148.88""","""11.23"""
01/06/2022,"""28.18""","""0.58""","""148.88""","""11.23"""
01/07/2022,"""27.25""","""-0.93""","""148.88""","""11.23"""
01/10/2022,"""27.40""","""0.15""","""148.88""","""11.23"""
01/11/2022,"""27.82""","""0.42""","""148.88""","""11.23"""
01/12/2022,"""28.00""","""0.18""","""148.88""","""11.23"""
01/13/2022,"""26.57""","""-1.43""","""148.88""","""11.23"""
01/14/2022,"""26.94""","""0.37""","""148.88""","""11.23"""
01/18/2022,"""25.90""","""-1.04""","""148.88""","""11.23"""
01/19/2022,"""25.07""","""-0.83""","""148.88""","""11.23"""
01/20/2022,"""24.15""","""-0.92""","""148.88""","""11.23"""
01/21/2022,"""23.37""","""-0.78""","""148.88""","""11.23"""
01/24/2022,"""23.37""","""0.00""","""148.88""","""11.23"""
01/25/2022,"""22.32""","""-1.05""","""148.88""","""11.23"""
01/26/2022,"""22.77""","""0.45""","""148.88""","""11.23"""
01/27/2022,"""21.94""","""-0.83""","""148.88""","""11.23"""
01/28/2022,"""22.84""","""0.90""","""148.88""","""11.23"""
01/31/2022,"""24.49""","""1.65""","""148.88""","""11.23"""
02/01/2022,"""24.64""","""0.15""","""148.88""","""11.23"""
02/02/2022,"""25.24""","""0.60""","""148.88""","""11.23"""
02/03/2022,"""23.95""","""-1.29""","""148.88""","""11.23"""
02/04/2022,"""24.32""","""0.37""","""148.88""","""11.23"""
02/07/2022,"""24.73""","""0.41""","""148.88""","""11.23"""
02/08/2022,"""25.11""","""0.38""","""148.88""","""11.23"""
02/09/2022,"""26.70""","""1.59""","""148.88""","""11.23"""
02/10/2022,"""25.82""","""-0.88""","""148.88""","""11.23"""
02/11/2022,"""23.95""","""-1.87""","""148.88""","""11.23"""
02/14/2022,"""24.27""","""0.32""","""148.88""","""11.23"""
02/15/2022,"""26.50""","""2.23""","""148.88""","""11.23"""
02/16/2022,"""26.51""","""0.01""","""148.88""","""11.23"""
02/17/2022,"""24.51""","""-2.00""","""148.88""","""11.23"""
02/18/2022,"""23.64""","""-0.87""","""148.88""","""11.23"""
02/22/2022,"""23.39""","""-0.25""","""148.88""","""11.23"""
02/23/2022,"""22.39""","""-1.00""","""148.88""","""11.23"""
02/24/2022,"""23.75""","""1.36""","""148.88""","""11.23"""
02/25/2022,"""24.16""","""0.41""","""148.88""","""11.23"""
02/28/2022,"""24.39""","""0.23""","""148.88""","""11.23"""
03/01/2022,"""23.48""","""-0.91""","""148.88""","""11.23"""
03/02/2022,"""24.22""","""0.74""","""148.88""","""11.23"""
03/03/2022,"""23.71""","""-0.51""","""148.88""","""11.23"""
03/04/2022,"""22.94""","""-0.77""","""148.88""","""11.23"""
03/07/2022,"""21.35""","""-1.59""","""148.88""","""11.23"""
03/08/2022,"""21.51""","""0.16""","""148.88""","""11.23"""
03/09/2022,"""23.01""","""1.50""","""148.88""","""11.23"""
03/10/2022,"""22.66""","""-0.35""","""148.88""","""11.23"""
03/11/2022,"""22.10""","""-0.56""","""148.88""","""11.23"""
03/14/2022,"""21.33""","""-0.77""","""148.88""","""11.23"""
03/15/2022,"""22.97""","""1.64""","""148.88""","""11.23"""
03/16/2022,"""24.50""","""1.53""","""148.88""","""11.23"""
03/17/2022,"""24.77""","""0.27""","""148.88""","""11.23"""
03/18/2022,"""26.45""","""1.68""","""148.88""","""11.23"""
03/21/2022,"""26.73""","""0.28""","""148.88""","""11.23"""
