Date,Close,Change,Max,Min
12/13/2021,"""322.14""","""0.00""","""399.93""","""108.10"""
12/14/2021,"""319.50""","""-2.64""","""399.93""","""108.10"""
12/15/2021,"""325.33""","""5.83""","""399.93""","""108.10"""
12/16/2021,"""308.97""","""-16.36""","""399.93""","""108.10"""
12/17/2021,"""310.86""","""1.89""","""399.93""","""108.10"""
12/20/2021,"""299.98""","""-10.88""","""399.93""","""108.10"""
12/21/2021,"""312.84""","""12.86""","""399.93""","""108.10"""
12/22/2021,"""336.29""","""23.45""","""399.93""","""108.10"""
12/23/2021,"""355.67""","""19.38""","""399.93""","""108.10"""
12/27/2021,"""364.65""","""8.98""","""399.93""","""108.10"""
12/28/2021,"""362.82""","""-1.83""","""399.93""","""108.10"""
12/29/2021,"""362.06""","""-0.76""","""399.93""","""108.10"""
12/30/2021,"""356.78""","""-5.28""","""399.93""","""108.10"""
12/31/2021,"""352.26""","""-4.52""","""399.93""","""108.10"""
01/03/2022,"""399.93""","""47.67""","""399.93""","""108.10"""
01/04/2022,"""383.20""","""-16.73""","""399.93""","""108.10"""
01/05/2022,"""362.71""","""-20.49""","""399.93""","""108.10"""
01/06/2022,"""354.90""","""-7.81""","""399.93""","""108.10"""
01/07/2022,"""342.32""","""-12.58""","""399.93""","""108.10"""
01/10/2022,"""352.71""","""10.39""","""399.93""","""108.10"""
01/11/2022,"""354.80""","""2.09""","""399.93""","""108.10"""
01/12/2022,"""368.74""","""13.94""","""399.93""","""108.10"""
01/13/2022,"""343.85""","""-24.89""","""399.93""","""108.10"""
01/14/2022,"""349.87""","""6.02""","""399.93""","""108.10"""
01/18/2022,"""343.50""","""-6.37""","""399.93""","""108.10"""
01/19/2022,"""331.88""","""-11.62""","""399.93""","""108.10"""
01/20/2022,"""332.09""","""0.21""","""399.93""","""108.10"""
01/21/2022,"""314.63""","""-17.46""","""399.93""","""108.10"""
01/24/2022,"""310.00""","""-4.63""","""399.93""","""108.10"""
01/25/2022,"""306.13""","""-3.87""","""399.93""","""108.10"""
01/26/2022,"""312.47""","""6.34""","""399.93""","""108.10"""
01/27/2022,"""276.37""","""-36.10""","""399.93""","""108.10"""
01/28/2022,"""282.12""","""5.75""","""399.93""","""108.10"""
01/31/2022,"""312.24""","""30.12""","""399.93""","""108.10"""
02/01/2022,"""310.42""","""-1.82""","""399.93""","""108.10"""
02/02/2022,"""301.89""","""-8.53""","""399.93""","""108.10"""
02/03/2022,"""297.05""","""-4.84""","""399.93""","""108.10"""
02/04/2022,"""307.77""","""10.72""","""399.93""","""108.10"""
02/07/2022,"""302.45""","""-5.32""","""399.93""","""108.10"""
02/08/2022,"""307.33""","""4.88""","""399.93""","""108.10"""
02/09/2022,"""310.67""","""3.34""","""399.93""","""108.10"""
02/10/2022,"""301.52""","""-9.15""","""399.93""","""108.10"""
02/11/2022,"""286.67""","""-14.85""","""399.93""","""108.10"""
02/14/2022,"""291.92""","""5.25""","""399.93""","""108.10"""
02/15/2022,"""307.48""","""15.56""","""399.93""","""108.10"""
02/16/2022,"""307.80""","""0.32""","""399.93""","""108.10"""
02/17/2022,"""292.12""","""-15.68""","""399.93""","""108.10"""
02/18/2022,"""285.66""","""-6.46""","""399.93""","""108.10"""
02/22/2022,"""273.84""","""-11.82""","""399.93""","""108.10"""
02/23/2022,"""254.68""","""-19.16""","""399.93""","""108.10"""
02/24/2022,"""266.92""","""12.24""","""399.93""","""108.10"""
02/25/2022,"""269.96""","""3.04""","""399.93""","""108.10"""
02/28/2022,"""290.14""","""20.18""","""399.93""","""108.10"""
03/01/2022,"""288.12""","""-2.02""","""399.93""","""108.10"""
03/02/2022,"""293.30""","""5.18""","""399.93""","""108.10"""
03/03/2022,"""279.76""","""-13.54""","""399.93""","""108.10"""
03/04/2022,"""279.43""","""-0.33""","""399.93""","""108.10"""
03/07/2022,"""268.19""","""-11.24""","""399.93""","""108.10"""
03/08/2022,"""274.80""","""6.61""","""399.93""","""108.10"""
03/09/2022,"""286.32""","""11.52""","""399.93""","""108.10"""
03/10/2022,"""279.43""","""-6.89""","""399.93""","""108.10"""
03/11/2022,"""265.12""","""-14.31""","""399.93""","""108.10"""
03/14/2022,"""255.46""","""-9.66""","""399.93""","""108.10"""
03/15/2022,"""267.30""","""11.84""","""399.93""","""108.10"""
03/16/2022,"""280.08""","""12.78""","""399.93""","""108.10"""
03/17/2022,"""290.53""","""10.45""","""399.93""","""108.10"""
03/18/2022,"""301.80""","""11.27""","""399.93""","""108.10"""
03/21/2022,"""307.05""","""5.25""","""399.93""","""108.10"""
03/22/2022,"""331.33""","""24.28""","""399.93""","""108.10"""
03/23/2022,"""333.04""","""1.71""","""399.93""","""108.10"""
03/24/2022,"""337.97""","""4.93""","""399.93""","""108.10"""
03/25/2022,"""336.88""","""-1.09""","""399.93""","""108.10"""
03/28/2022,"""363.95""","""27.07""","""399.93""","""108.10"""
03/29/2022,"""366.52""","""2.57""","""399.93""","""108.10"""
03/30/2022,"""364.66""","""-1.86""","""399.93""","""108.10"""
03/31/2022,"""359.20""","""-5.46""","""399.93""","""108.10"""
04/01/2022,"""361.53""","""2.33""","""399.93""","""108.10"""
04/04/2022,"""381.82""","""20.29""","""399.93""","""108.10"""
04/05/2022,"""363.75""","""-18.07""","""399.93""","""108.10"""
04/06/2022,"""348.59""","""-15.16""","""399.93""","""108.10"""
04/07/2022,"""352.42""","""3.83""","""399.93""","""108.10"""
04/08/2022,"""341.83""","""-10.59""","""399.93""","""108.10"""
04/11/2022,"""325.31""","""-16.52""","""399.93""","""108.10"""
04/12/2022,"""328.98""","""3.67""","""399.93""","""108.10"""
04/13/2022,"""340.79""","""11.81""","""399.93""","""108.10"""
04/14/2022,"""328.33""","""-12.46""","""399.93""","""108.10"""
04/18/2022,"""334.76""","""6.43""","""399.93""","""108.10"""
04/19/2022,"""342.72""","""7.96""","""399.93""","""108.10"""
04/20/2022,"""325.73""","""-16.99""","""399.93""","""108.10"""
04/21/2022,"""336.26""","""10.53""","""399.93""","""108.10"""
04/22/2022,"""335.02""","""-1.24""","""399.93""","""108.10"""
04/25/2022,"""332.67""","""-2.35""","""399.93""","""108.10"""
04/26/2022,"""292.14""","""-40.53""","""399.93""","""108.10"""
04/27/2022,"""293.84""","""1.70""","""399.93""","""108.10"""
04/28/2022,"""292.50""","""-1.34""","""399.93""","""108.10"""
